,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,5.676674836084773,1.213563516500168,1.142598021357458,1.0621088902800653,0.2881862545971179,0.443809001055565
A1BG-AS1,73.72945080000348,1.6091853781120005,0.42534800301144904,3.7832207197847976,0.00015481201453004963,0.0010511970889971846
A2M,3.3127708342729543,2.017680883021778,1.589886769323909,1.2690720634651147,0.20441536306343178,
A2M-AS1,134.01645902290366,-3.0633115694597866,0.8074022780025543,-3.794033845232841,,
A2ML1,0.0,,,,,
AAAS,279.46954064307624,0.3695689556932725,0.2726106815553108,1.3556657192769959,0.1752055513295726,0.3121328905630266
AACS,195.0799212252226,-0.25747274257600533,0.257422913364706,-1.0001935694482205,0.3172168406500856,0.47532593518757116
AADAT,1.2060992667058443,-1.1401486850425084,3.180272096130758,-0.3585066467833546,0.7199641946025238,
AAGAB,604.5448378102285,0.14742887831899348,0.20548639896404183,0.7174629516223706,0.4730884885257328,0.6239761015640644
AAK1,2623.976307458114,-1.1343334124708253,0.3176963554051276,-3.5704955161488052,0.00035630655390926386,0.002139724543317537
AAMDC,36.00840826021017,-0.8382168783347635,0.5181785541613835,-1.6176217089712015,0.10574414767889269,0.21567728647590864
AAMP,554.181454495209,0.7952704242309471,0.16915559953798867,4.7014135293366195,2.58366673046456e-06,2.857721334932877e-05
AAR2,491.5121814128719,-0.18278024366768728,0.1688404536056594,-1.082561908383552,0.2790029225051135,0.4342498018526318
AARS1,480.5981027201564,0.2585142228117497,0.23550982593797562,1.0976791383635627,0.27234462238510315,0.4272668690369162
AARS2,422.33311132417003,-0.06088181421953413,0.18003021036380126,-0.3381755434074395,0.7352309048094883,0.8300812610348152
AARSD1,22.743408483317562,-1.5592852169663982,0.7611492323659652,-2.0485932990032687,0.04050190044631304,0.10425362559664722
AASDH,427.99387484284705,-0.7211343541424774,0.18992717193761563,-3.7968993419190418,0.00014651724797140912,0.001004582710882036
AASDHPPT,745.1341075748758,-0.6824618049159704,0.17996801830246992,-3.792128242302284,0.00014936174420460688,0.0010212384317604146
AASS,19.385790754164617,-0.49984070245322476,0.9505833571369776,-0.5258252195353746,0.5990096502521955,0.7283384746164933
AATBC,47.63710057808802,7.7841980629081,1.7464258988653418,4.457216345660882,8.303079589807492e-06,8.084144409331448e-05
AATF,1142.274599051858,-0.009106228920786415,0.1436830179641716,-0.06337721082012016,0.9494661338933711,0.9699517290324027
ABALON,8.352950828002596,-0.030196275621023512,0.8758568318594143,-0.03447626886339157,0.9724973657996604,0.9836596230563429
ABAT,219.20342764865632,1.2166872271509543,0.22757055160668124,5.346417708974053,8.97120398063001e-08,1.345224743233697e-06
ABCA1,533.4840044775766,-0.5119441308160749,0.9003576312933592,-0.568600868169096,0.5696270355258795,0.7037101077171347
ABCA10,18.37730336586054,-1.1797949072874818,0.8250932434410705,-1.4298928232245847,0.15274778214074441,0.28221807231238216
ABCA11P,7.053603367717514,-3.688947077807163,2.056308696253347,-1.793965606685674,0.07281865858777949,0.16316466324414372
ABCA13,17.127664214066254,0.7879984854390326,1.0552552832242015,0.7467373042013123,0.4552221471401924,0.6073058572381138
