"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"A1BG",52,46,175,63,16,5,6,18,47,9,46,10,47,3,1,1
"A1BG-AS1",232,308,752,360,162,96,184,96,806,226,656,173,491,21,38,14
"A2M",47,68,72,38,1,5,4,9,120,89,135,88,291,4,0,0
"A2M-AS1",99,89,249,130,408,320,267,1471,166,18,93,28,96,5,6,4
"A2ML1",3,23,41,100,0,0,0,0,291,42,288,19,130,0,0,0
"AAAS",1452,1968,4377,1944,904,1482,848,474,1561,523,1863,537,877,94,84,26
"AACS",1472,1880,4132,2149,757,820,707,624,1208,309,967,371,921,48,40,19
"AADAT",155,203,420,241,1,29,0,5,59,7,96,23,65,0,0,0
"AAGAB",3712,3888,7327,3207,2460,2839,2010,1108,2140,758,2993,932,1640,164,158,70
"AAK1",2730,4681,7347,4127,9963,11551,10981,12995,8490,2317,8451,1701,11872,332,293,252
"AAMDC",332,390,1167,578,208,228,124,87,158,64,211,83,115,6,6,3
"AAMP",2471,3577,7963,3448,1439,2221,1455,997,2676,921,2810,931,1655,172,208,74
"AAR2",1971,2853,5494,2460,1980,2353,1655,1352,1520,423,1503,498,919,112,115,51
"AARS1",2269,3331,7322,3125,1432,2358,1691,990,3228,838,3002,930,2387,127,169,43
"AARS2",1180,1900,3661,2140,1729,1858,1410,1069,1659,416,1816,484,1094,97,98,52
"AARSD1",39,64,53,67,70,154,106,118,70,13,60,9,55,2,5,0
"AASDH",1518,1785,4262,1387,2023,2196,1926,1173,1502,534,1975,546,1066,71,81,37
"AASDHPPT",3814,4384,11818,3348,3548,4560,2959,1842,2841,929,3658,1003,1722,127,142,66
"AASS",274,154,951,371,65,70,112,65,452,24,185,73,206,0,11,0
"AATBC",26,17,14,7,0,0,7,0,82,20,45,20,59,31,31,9
"AATF",2358,5352,7457,5000,4519,5198,4038,2614,4038,1454,4492,1597,2714,255,305,132
"ABALON",41,31,157,25,33,35,23,26,32,11,26,5,32,1,3,1
"ABAT",600,1036,1797,484,436,773,462,363,1066,358,1005,296,756,83,91,30
"ABCA1",4123,4350,24385,9968,1094,609,3446,2521,4909,926,4661,2203,5015,48,209,29
"ABCA10",66,94,205,52,67,75,68,112,161,24,140,57,136,3,4,0
"ABCA11P",39,55,120,42,39,98,35,19,88,23,68,25,68,0,0,0
"ABCA13",126,249,171,93,17,109,4,58,113,15,254,25,70,10,2,2
"ABCA2",225,677,596,639,589,1293,741,696,2639,544,2188,368,1617,283,141,117
"ABCA3",124,139,188,112,104,72,170,61,291,86,223,76,355,14,19,7
"ABCA5",1093,1466,3220,1291,1028,1575,1593,1791,1920,326,2037,426,1812,33,34,25
"ABCA6",79,138,120,35,9,13,16,17,116,21,109,68,83,4,9,1
"ABCA7",799,2019,1934,1604,2159,4727,2265,2561,3633,864,3898,854,3318,256,185,88
"ABCA8",63,56,87,9,2,0,2,0,128,20,104,45,38,0,0,0
"ABCA9",54,113,65,21,3,4,8,1,131,21,115,97,55,0,0,0
"ABCB1",1296,1693,4418,1381,1615,1629,1452,951,3627,985,4025,832,2095,142,154,97
"ABCB10",2050,3192,6021,2113,1822,3111,2270,1351,1244,475,1669,486,927,109,130,64
"ABCB4",26,43,42,33,1,7,50,9,57,4,40,4,34,7,42,1
"ABCB7",3522,3795,7962,3654,2507,3068,2113,1568,2133,697,2631,713,1567,125,131,55
"ABCB8",639,1101,1836,912,1000,1338,884,887,1099,227,1016,270,888,64,78,43
"ABCB9",122,206,492,246,175,208,186,151,143,47,152,49,97,9,10,6
"ABCC1",4262,7621,14648,11848,3589,4721,3425,4058,5183,1217,4298,1292,4771,260,373,150
"ABCC10",583,1106,1866,813,1328,1873,1415,1213,1593,355,1398,345,1197,128,107,63
"ABCC2",91,88,226,54,133,199,146,159,242,30,144,31,154,8,4,0
"ABCC3",21,44,42,24,11,2,4,0,24,6,29,8,18,81,39,83
"ABCC4",2036,2412,4645,2166,1511,1864,1209,818,1419,448,1670,417,925,163,112,63
"ABCC5",1114,1340,3453,1382,1215,1890,1289,1408,1869,366,2037,497,781,98,79,39
"ABCC9",176,329,616,269,344,351,371,472,452,84,427,99,540,11,9,11
"ABCD1",248,763,718,626,504,631,393,373,899,215,737,237,548,78,96,30
"ABCD2",832,756,2970,490,2284,2106,3065,1079,2662,1091,5111,754,2151,138,195,70
"ABCD3",7320,6609,20543,7767,1353,2190,1538,1555,4168,1465,5557,1896,3007,72,151,55
"ABCD4",897,1307,2717,1298,866,1720,893,1077,1530,347,1390,416,1282,83,71,27
"ABCE1",15014,17037,39187,14121,7462,12590,8209,5962,7741,2690,11180,3978,4864,424,406,221
"ABCF1",1598,4233,6627,4593,3361,6834,4051,3724,4464,1335,4420,1466,3194,336,312,157
"ABCF2",3235,4411,9244,3940,2110,3260,2393,1275,2640,905,3418,1044,1702,177,225,74
"ABCF3",820,1339,2498,1209,1294,2145,1301,1330,1700,371,1522,353,1088,110,139,61
"ABCG1",3181,3645,10657,3604,1781,1781,1417,1293,3743,823,3847,1266,2842,86,138,40
"ABCG2",197,114,517,221,50,31,43,30,148,62,187,86,162,3,2,7
"ABHD10",2680,3439,7490,2227,1752,2292,1684,1131,2300,821,2586,861,1366,73,105,40
"ABHD11",216,365,643,296,192,329,174,138,228,67,249,81,133,17,14,3
"ABHD12",833,1406,2219,1207,882,1098,922,650,854,217,801,273,694,72,57,40
"ABHD12B",239,227,502,238,6,0,1,0,96,17,139,39,58,0,0,0
"ABHD13",5041,6016,10438,5550,4193,6083,4261,2970,3972,850,3582,1067,2392,178,201,109
"ABHD14A",201,238,531,176,297,254,256,93,229,76,304,88,200,16,22,4
"ABHD14B",1020,2178,3259,2032,3661,3283,2845,1586,1616,706,1859,583,1227,204,181,93
"ABHD15",345,463,1062,415,506,535,880,341,786,208,639,206,415,98,139,62
"ABHD16A",191,264,457,230,176,300,194,175,215,41,245,57,165,11,15,5
"ABHD17A",2328,3784,5322,2621,4619,5630,3731,3393,6561,1446,5895,1437,3658,677,452,341
"ABHD17B",7849,10236,18975,7619,3196,3704,2748,1211,2979,811,3611,1276,1696,107,239,121
"ABHD17C",48,101,182,70,22,54,50,12,74,19,53,13,43,2,8,2
"ABHD18",1984,2400,4369,1725,2587,3364,2432,1585,2351,713,2918,869,1710,107,105,49
"ABHD2",5184,7691,16255,8231,5113,5128,5423,2847,4822,1242,4207,1513,3364,508,564,250
"ABHD3",1403,1571,4072,1595,1305,1726,1468,913,1916,499,2038,596,1715,90,120,34
"ABHD4",57,101,152,44,199,233,230,94,208,60,157,43,173,49,52,18
"ABHD5",554,772,1547,673,571,685,403,374,446,118,544,157,350,42,34,34
"ABHD6",285,222,453,159,138,107,158,66,239,78,343,42,180,12,32,3
"ABHD8",245,370,763,322,166,292,254,174,396,169,429,123,219,37,20,14
"ABI1",7369,8581,19167,6127,7383,10372,7803,5413,6759,2221,8061,2281,5051,442,514,201
"ABI2",7110,8330,19762,8668,3618,4334,3363,2386,4488,1458,5636,1682,4408,125,130,75
"ABI3",359,795,1241,548,412,663,416,284,1937,526,1800,411,1129,181,144,70
"ABI3BP",12,19,12,2,0,1,1,0,96,18,42,25,39,0,0,0
"ABITRAM",829,1044,2405,1025,880,1406,909,522,596,206,695,287,445,38,31,12
"ABL1",1205,3263,3814,3381,1934,3178,2094,1634,3126,739,2429,886,2254,210,191,129
"ABL2",1535,2340,5008,2345,1988,2112,2351,1948,3048,745,2834,773,2828,112,125,64
"ABLIM1",23483,40047,50907,23714,54316,59008,46852,29319,58191,15955,58025,13445,41770,1803,1553,847
"ABLIM2",14,54,49,23,66,68,53,40,128,40,176,30,94,0,2,4
"ABLIM3",6,5,10,6,6,1,2,0,45,18,30,6,51,18,9,24
"ABO",18,13,2,13,59,508,59,24,23,8,25,7,27,6,0,0
"ABR",1153,2562,2986,1843,2136,3653,2553,1675,1838,377,1537,473,1530,332,334,113
"ABRACL",7234,7225,17475,6415,5115,6049,3907,2291,3403,1423,5346,1528,1901,218,216,94
"ABRAXAS1",3148,4078,6655,3213,3662,4225,3336,1988,2322,630,2784,706,1519,132,149,58
"ABRAXAS2",1519,1758,4298,1283,1676,2233,1422,972,1633,564,1992,568,1101,67,95,32
"ABT1",3217,4966,7154,3535,5259,5230,4047,2582,2187,578,2576,716,1233,247,181,119
"ABTB1",543,887,1798,755,971,1319,954,1177,1537,288,961,242,1322,112,137,40
"ABTB2",189,313,647,407,42,96,37,43,337,69,173,89,147,12,2,9
"ACAA1",994,1705,2939,1734,1209,1913,1171,998,1854,527,1718,550,1444,129,121,47
"ACAA2",3170,3674,8530,3695,1571,2383,2183,1029,2126,817,2622,817,1551,153,199,71
"ACACA",1889,2787,5542,2801,1437,2031,1520,1824,2518,648,2426,769,2247,115,110,67
"ACACB",287,590,854,452,503,826,673,358,1046,202,667,147,977,32,40,24
"ACAD10",963,1200,2517,890,870,1508,953,665,1477,372,1368,366,1041,63,83,33
"ACAD11",221,238,406,183,153,222,157,211,214,43,184,46,145,4,3,5
"ACAD8",867,1095,2408,948,498,963,614,530,1407,319,1529,384,898,52,43,30
"ACAD9",1684,2278,4402,2126,1143,1538,933,879,1553,480,1553,537,1237,93,79,27
"ACADL",12,12,12,8,0,0,0,0,42,8,32,9,82,0,0,0
"ACADM",4152,5019,12805,5222,2436,3343,2611,1063,3728,1425,5263,1718,2311,128,197,48
"ACADS",601,749,1566,691,461,638,334,266,493,129,486,175,313,36,32,16
"ACADSB",1825,2368,5045,1804,2894,3137,2966,1336,1951,612,2355,658,1741,100,136,65
"ACADVL",2930,5658,7500,4897,2146,4324,2713,2176,5911,1508,6118,1658,4439,278,260,100
"ACAP1",6094,8883,12772,4360,10257,15248,8225,5760,13718,2902,11788,2974,8643,732,594,374
"ACAP2",14955,18949,36037,12889,23798,26926,21210,13036,13761,4066,16195,4461,9458,1005,1375,501
"ACAP2-IT1",85,121,129,68,108,112,120,171,148,12,115,34,173,2,3,5
"ACAP3",384,773,1116,834,629,1675,725,840,1462,295,1341,308,1000,69,83,30
"ACAT1",1169,1350,2409,1289,669,1364,728,379,607,178,684,242,266,31,51,21
"ACAT2",3765,4523,7818,3559,1543,2127,1293,628,1362,588,2099,875,953,73,67,40
"ACBD3",2776,5060,7765,4125,3454,4334,3447,2276,3282,912,3537,1042,2288,223,323,84
"ACBD4",157,213,434,133,315,413,355,234,457,123,375,73,400,18,28,8
"ACBD5",1916,2644,4994,1964,1968,2833,2280,1688,2188,611,2437,693,1391,127,135,73
"ACBD6",2507,4090,6113,3379,2589,3213,2340,2093,2245,662,2497,821,1795,144,100,62
"ACBD7",384,649,603,747,32,62,16,28,203,112,318,151,115,4,1,1
"ACCS",315,343,968,372,239,409,178,256,718,128,759,163,587,12,14,8
"ACD",363,667,1032,596,498,679,417,247,731,174,715,174,384,46,40,16
"ACE",18,31,50,35,16,49,42,23,24,4,21,4,25,2,4,0
"ACER1",44,38,57,29,34,54,41,32,51,17,39,2,27,2,1,1
"ACER2",175,132,462,157,140,96,131,47,130,45,142,39,117,5,2,7
"ACER3",1653,2286,3386,1928,882,1158,1024,539,1190,347,1424,364,1096,99,111,38
"ACIN1",3591,8122,10685,8212,7161,14365,8498,8637,12520,3092,11628,3196,9853,580,519,302
"ACKR3",122,101,445,106,102,97,91,46,169,49,218,71,104,16,17,5
"ACLY",7181,11156,18160,9573,5543,8290,5837,3586,7869,2402,8606,2833,5089,540,655,248
"ACO1",1297,1503,4056,1436,706,877,673,426,1038,336,1403,367,969,53,75,10
"ACO2",3187,5570,8692,5247,3449,4579,3713,2379,3673,1045,3915,1251,2560,359,417,162
"ACOT1",61,113,115,58,29,87,19,25,43,20,33,15,28,8,1,2
"ACOT11",54,100,207,58,46,92,20,58,83,16,68,23,60,7,3,1
"ACOT13",1995,1904,5565,2028,987,1400,891,407,1321,559,1777,588,781,45,64,16
"ACOT2",562,700,1393,698,325,416,291,240,255,64,284,108,113,18,21,13
"ACOT4",19,53,59,18,51,48,34,9,30,8,45,21,6,9,2,1
"ACOT7",490,822,1028,959,193,599,293,241,361,121,423,169,280,50,30,12
"ACOT8",881,982,1512,834,894,968,650,587,727,156,735,193,553,53,38,29
"ACOT9",529,1049,1505,556,343,1549,704,395,437,186,805,271,256,80,81,22
"ACOX1",4490,4999,13749,5338,1824,2635,2268,1270,3345,1179,4040,1328,2516,170,294,90
"ACOX3",591,987,1787,751,534,808,546,432,681,157,623,134,473,45,41,28
"ACOXL",39,54,115,56,16,9,23,12,37,14,119,29,38,0,0,0
"ACP1",7529,10378,17362,8328,6396,8513,5885,3776,4533,1436,6198,1916,2920,306,245,159
"ACP2",449,813,1567,591,501,852,559,339,681,237,628,266,415,72,46,21
"ACP3",126,183,96,118,9,25,45,4,14,2,9,1,16,59,41,7
"ACP5",916,1135,2455,959,753,605,675,322,942,398,1039,292,607,83,194,35
"ACP6",452,375,1384,627,355,505,409,388,496,183,632,160,517,24,16,16
"ACRBP",34,62,54,49,63,85,51,34,109,32,102,19,140,67,24,49
"ACSBG1",116,80,162,79,18,3,3,13,61,14,63,19,12,0,1,1
"ACSF2",498,709,1508,839,230,359,287,244,247,119,449,120,299,16,46,8
"ACSF3",1789,2886,7248,3004,2329,3427,2707,2057,2197,604,1912,647,1769,178,166,76
"ACSL1",1423,1662,3043,808,765,1202,718,628,1620,343,1198,439,712,164,185,63
"ACSL3",4644,5673,14722,4601,2618,3516,2746,2351,3397,1306,5075,1791,2722,156,205,81
