,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,41.1003100651058,-0.3895255290397016,0.3569748733631532,-1.091184725047677,0.27519160780147445,0.359520846769437
A1BG-AS1,420.7966829636084,1.2038378640960303,0.17631313732013273,6.827839844459322,8.620274139722132e-12,1.5624370590561805e-10
A2M,128.6384913206142,2.4701497917431827,0.3910741497308519,6.316320813951033,2.6786369882878844e-10,3.457697639746593e-09
A2M-AS1,87.02206616382522,0.0628471683780236,0.31831604405005565,0.197436382968308,0.843486060430308,0.8839693597990754
A2ML1,98.42537677073781,2.4956974033832,0.8351528073555925,2.9883122961479534,0.002805227523644134,0.006757114268503196
AAAS,1373.0923930337476,-0.13762043320721562,0.14747277086672816,-0.9331921574294135,0.35072076324587953,0.4402694568513597
AACS,1157.9450683754199,-0.655323587009999,0.14581030320772645,-4.494357206543917,6.978040912684065e-06,3.3342110135757665e-05
AADAT,99.51590532418409,-1.455224186382306,0.30005141297990634,-4.849916125806608,1.2351369126498146e-06,7.093163492179928e-06
AAGAB,2414.7822552301022,-0.4282086920600508,0.15867261917856154,-2.6986930339768826,0.006961235332042447,0.014976427117328169
AAK1,5492.5435260873255,1.3861510353734232,0.26565625789586367,5.217836938427363,1.8102472017500464e-07,1.260069337479188e-06
AAMDC,251.16592253840994,-1.1613561337194882,0.23098636901379022,-5.027812414550547,4.96106820310482e-07,3.0932221059405923e-06
AAMP,2392.486718574564,-0.19438167219168853,0.1338268395318686,-1.4524864584088144,0.14636639176002772,0.21090600827998882
AAR2,1511.2723691591345,-0.6961878287247648,0.10685410720408266,-6.5153118297559,7.253880561208085e-11,1.067260134387624e-09
AARS1,2431.1114047641977,0.07593761024482171,0.11017760288666134,0.6892291015165579,0.4906791060332215,0.578388042032888
AARS2,1310.6986771380855,-0.06141650214192968,0.14212424914697766,-0.4321324651531904,0.6656451401915856,0.7356345697028044
AARSD1,41.92189948142278,0.30075327191151485,0.4090543659358386,0.7352403420104039,0.4621931339126979,0.5513141673653013
AASDH,1347.6669860733582,0.06822302752213535,0.15131973762651685,0.45085346163182977,0.6520951669489992,0.7235978351461201
AASDHPPT,2857.373325112629,-0.44335811139635284,0.17524652101628868,-2.5299110580069315,0.011409144397679209,0.023082309303207735
AASS,221.27629812453517,-0.2942329096872625,0.4186239317135902,-0.702857355724631,0.4821446491274536,0.5703645975468643
AATBC,35.992750885949725,2.295791615686189,0.502966032756083,4.564506281082305,5.006712119768921e-06,2.4715748666288912e-05
AATF,3389.018242091365,0.22188794729944078,0.1892105972436967,1.172703593412671,0.24091468991591292,0.3210636678796655
ABALON,29.084706296365596,-0.41651357010152457,0.47142359795781436,-0.8835229545271864,0.3769537858651808,0.46681592543564554
ABAT,730.5252949244527,0.5805396203294912,0.19665593854660052,2.952057408588878,0.003156642369556791,0.007494856137198833
ABCA1,4978.89760260816,-0.428422194052677,0.3150723017170839,-1.3597583529807533,0.1739064055581303,0.24430151490889865
ABCA10,94.22359951117818,1.0255534006526223,0.2893735949297788,3.5440462385709015,0.0003940361334679491,0.0012022899959525538
ABCA11P,53.43894908710855,0.8160051636548582,0.2693619283604458,3.0294005118753216,0.002450395952126979,0.006008760623831721
ABCA13,99.53443851475059,-0.13006768041284847,0.4386072539092039,-0.2965470343994215,0.7668123530526825,0.821582664740173
ABCA2,1061.6505021439089,2.2448823266878555,0.30169138689174746,7.440989117443255,9.99341802290976e-14,2.7248029417560688e-12
ABCA3,179.81605189956318,1.4621462136146048,0.2852495629501822,5.125849093307685,2.9619978729718557e-07,1.9419045025168887e-06
ABCA5,1265.470476827746,0.46858080529800406,0.21527814047450733,2.176629751005733,0.02950820354081624,0.053173048895372936
ABCA6,82.94632147063332,0.7619900085987166,0.40553659853933377,1.8789673024414089,0.06024895799913247,0.09853416553737743
ABCA7,2049.773666143892,1.5029072932609373,0.2374821163712774,6.328507241830815,2.475442413387369e-10,3.216445216472954e-09
ABCA8,59.644692414569846,1.2434115818127953,0.5008319822224019,2.4826920523231277,0.013039375742908773,0.025939090833329233
ABCA9,81.70946521265202,1.4317103371626099,0.5160985204186916,2.774102774022906,0.005535418791388196,0.012264934239950238
ABCB1,2045.5420609035948,1.093175131168797,0.16682236271821763,6.552929195801507,5.641927147821212e-11,8.46664485576554e-10
ABCB10,1539.2489581287239,-0.7319696607680387,0.14702767496768449,-4.9784481794255395,6.40960990288306e-07,3.90237221507192e-06
ABCB4,25.782142651211313,0.29908868966974395,0.5029887974171869,0.5946229641804031,0.5520955262798966,0.6346706526891959
ABCB7,2328.359405857197,-0.6293291217893893,0.11989265529386679,-5.249104878416878,1.528400463029583e-07,1.0839558899302797e-06
ABCB8,749.1694891992299,0.2534552123881611,0.16329879525154686,1.552094808769021,0.12063953994500315,0.17888009928728887
ABCB9,136.13768875063317,-0.37832356852238547,0.21368053458243214,-1.770510211712516,0.07664218477779094,0.12141626692098208
ABCC1,4816.667728122154,-0.5794951252263064,0.24228658240659096,-2.391775555502418,0.016767092334401452,0.03236362473202051
ABCC10,914.8242198128698,0.7976376669664669,0.16775384661869697,4.754809997170976,1.9863313758296725e-06,1.0865631819204103e-05
ABCC2,101.88338826508173,0.9701352802750673,0.34541777475677177,2.808585287651148,0.004975970022986673,0.011199834438678443
ABCC3,20.384298685892773,-0.038376462080228504,0.4190722482797129,-0.09157481135475679,0.9270358649670912,0.9481467270117109
ABCC4,1416.6092076173281,-0.5618522667293356,0.12301733335689921,-4.567260981826713,4.941386282606699e-06,2.445444051520751e-05
ABCC5,1174.4705682171937,0.24338111994796943,0.19411568415117345,1.2537942053071252,0.20991681596810297,0.28583377382166997
ABCC9,291.1768552356415,0.8256039388340135,0.2710681412105666,3.0457431668175334,0.002321060078394198,0.005721826273830294
ABCD1,515.8332745257372,0.7529586699442279,0.2517474157596395,2.9909290932429236,0.0027813006719731616,0.006706643303565038
ABCD2,1814.482555666665,1.9889907132374431,0.29163458556889743,6.820146894983252,9.094746623053782e-12,1.6371580950758272e-10
ABCD3,4989.747997135111,-0.6200189684900993,0.17810299103126215,-3.4812383829155813,0.0004991010816044477,0.0014830244259908555
ABCD4,1060.399098466185,0.33331381413888916,0.14699317100975215,2.2675462529941326,0.023356876737337256,0.0433515770792058
ABCE1,9896.553499958074,-0.7254413038909485,0.1912374949459227,-3.793405179753508,0.00014859538955825743,0.000507765241332513
ABCF1,3173.568266944251,0.502093808926709,0.2113985533224717,2.3751052267647483,0.01754394793614522,0.03363690867961193
ABCF2,2710.7080814637884,-0.37404166197305083,0.1338739634144785,-2.793983627832133,0.0052063114457743765,0.011645230772802505
ABCF3,1030.515910367586,0.3959883984014704,0.15038511554796716,2.633162178042581,0.00845939432833919,0.017749662182547952
ABCG1,2990.792152600224,-0.023876783048993187,0.15901142663414122,-0.15015765567546088,0.8806402329200154,0.9121288123020787
ABCG2,162.8697515509233,0.1168219027546377,0.2929976300330045,0.398712790753558,0.6901048420947504,0.7565228207867387
ABHD10,2139.1343887946005,-0.2180748984037302,0.17554500400002776,-1.242273453727545,0.21413568633047064,0.2905114649777626
ABHD11,204.42145463793722,-0.30594532156357696,0.16656384824947565,-1.8368050737236739,0.0662386766505746,0.10687959814826464
ABHD12,765.97993495292,-0.3407816005048039,0.1374671792886664,-2.4790033684273025,0.013175006191067705,0.0261627449985391
ABHD12B,127.11690606814669,-1.1983323329101345,0.25496612500318055,-4.699966840281962,2.6020373839689837e-06,1.3868455158919091e-05
ABHD13,3420.0017065429092,-0.6028910120650852,0.13090152328544116,-4.605683699726194,4.11112878487471e-06,2.0768764840581458e-05
ABHD14A,196.5104647779213,0.36016044520718166,0.17835292206093176,2.019369467264113,0.04344883256579496,0.0743068702974981
ABHD14B,1426.9298003713416,0.23866226270328783,0.1903104625237557,1.2540680083392504,0.2098172872699885,0.28577219516273905
ABHD15,452.33445477923703,0.6990631122842438,0.15342635436105181,4.556343108037149,5.205188563747505e-06,2.5631413554548305e-05
ABHD16A,168.45747531882134,-0.07719924704298416,0.1885524024348476,-0.4094312564893443,0.6822232055500588,0.7501224227621381
ABHD17A,3398.123627884404,1.0077501276883083,0.15226844355779368,6.618246723628033,3.634840134436622e-11,5.664681263805622e-10
ABHD17B,4422.496109062506,-1.410816440097297,0.16723154074575805,-8.436305937300187,3.2752478376121007e-17,1.6519596681272278e-15
ABHD17C,52.33176826046849,-0.288953325747686,0.2946703367766272,-0.9805986205076525,0.3267907148854585,0.41514205290344935
ABHD18,1864.6698654404713,0.37309788163447744,0.13431300163697346,2.777824016195404,0.005472424825643713,0.012145813401158062
ABHD2,4526.133538276958,-0.5974456146879562,0.12324672356004528,-4.8475577883973795,1.24990629481682e-06,7.164949410411451e-06
ABHD3,1457.2343789970473,0.33971222391718453,0.14187246179228444,2.3944902317587005,0.016643486770646816,0.03215649561231199
ABHD4,108.87787189851244,1.5441784300338022,0.27872129117292865,5.540224155591109,3.020847244309168e-08,2.5034181336435087e-07
ABHD5,449.13854646429195,-0.46167120151854196,0.12253726358804584,-3.767598426798723,0.00016482556183572633,0.0005562422284524608
ABHD6,188.87155501386107,0.18206171328056925,0.29524829689574306,0.6166393344001513,0.5374726438476358,0.622392769634169
ABHD8,300.76864887406,0.4242786290209691,0.1991957302337749,2.12995845103225,0.03317504376275744,0.0588664061911489
ABI1,6005.940599674568,-0.040442116805489835,0.13978821189252616,-0.2893099229038217,0.7723442194774075,0.8261398599423966
ABI2,5292.651680599974,-0.6060138442564681,0.12512313510822515,-4.84333967281348,1.2767474849646444e-06,7.305550034482363e-06
ABI3,950.6728153626003,1.6399436025924434,0.17715634446477557,9.257041330058136,2.1017528060829083e-20,1.7281443515432745e-18
ABI3BP,33.46660349344438,2.872636530556864,0.5379349368330412,5.340118913764555,9.28856347720757e-08,6.890909380388906e-07
ABITRAM,666.5193120960721,-0.4736425167104911,0.1567922387146172,-3.0208288407220443,0.0025208381293567663,0.006156632355840853
ABL1,2078.6898292489905,0.3096638498359784,0.23832674041664587,1.299324823117289,0.1938324789638579,0.26795388313506346
ABL2,2070.2092076245835,0.530656377426832,0.16508322998690653,3.2144777968599274,0.0013068202101907964,0.0034493848283367505
ABLIM1,33970.02646100914,1.0302284049790749,0.1645213350156914,6.261974502460825,3.8013310603795873e-10,4.740921007615129e-09
ABLIM2,69.22944405642164,2.3381831794160477,0.34071150949563184,6.862648059284375,6.759561853916923e-12,1.26888469664431e-10
ABLIM3,22.42349213946489,3.1274574471812366,0.5487990164466174,5.698730051360158,1.2070317439109164e-08,1.1001968903649907e-07
ABO,16.246352494326086,1.2968668164645902,0.6911579293681707,1.876368281920942,0.06060472681256995,0.09901343497775451
ABR,1337.62743842046,0.012935089147643039,0.2030802836344825,0.06369446071350028,0.949213515502773,0.9634947450165421
ABRACL,4445.691742866278,-0.7530050777236996,0.21370019184934094,-3.5236518564034314,0.00042564311218289624,0.0012877784231566467
ABRAXAS1,2221.848747122983,-0.500073951661643,0.12510555806480023,-3.997216106119142,6.409178520334013e-05,0.00024206148636486376
ABRAXAS2,1371.8528483709238,0.15406640514606243,0.16106251128119195,0.9565627899411344,0.33878797769070057,0.42794413536590575
ABT1,2264.2416302701913,-0.7579073435094361,0.14759904488587514,-5.134906828804053,2.8228383411471785e-07,1.8614932703295952e-06
ABTB1,808.9021691331301,0.7566852385660958,0.2498339181493538,3.0287530379031247,0.002455653340158474,0.006020717391067219
ABTB2,215.49998640138875,-0.22965517067890032,0.25961870206072135,-0.8845863909495512,0.3763797492658367,0.466214758859142
ACAA1,1320.5284186990928,0.3969995958167047,0.1407535176636593,2.82053054450379,0.004794430891660562,0.010845347540714327
ACAA2,2372.3546408207358,-0.5219888716093205,0.13351420077266662,-3.909613124210706,9.244405626544235e-05,0.0003347280541886556
ACACA,2013.877923592083,0.07456520515674422,0.1347531022118962,0.55334685385938,0.5800259234351486,0.6600021084957972
ACACB,528.5233347946796,1.0509646589147859,0.28518241024629004,3.685236610515876,0.00022849027020056993,0.0007425228274303
ACAD10,973.1372457840482,0.39624825119391227,0.13997300825184664,2.8308904419697978,0.004641861792144559,0.010541005769934716
ACAD11,153.33340963673496,-0.1642229215230764,0.21668402343643364,-0.7578912322128484,0.44851609956590555,0.5378445623886784
ACAD8,933.3441836480438,0.41409493589619084,0.12825008006485328,3.2288084006403115,0.001243071469718262,0.003305435285909079
ACAD9,1442.0736658160858,-0.26785790357293165,0.10238604206245275,-2.616156442589562,0.00889258037410211,0.01853619790302764
ACADM,3795.00017341302,-0.13240292665093595,0.1788358680472183,-0.7403600189195683,0.4590815716667265,0.5483069126874421
ACADS,458.05729449227056,-0.4822387522395558,0.1298581266280201,-3.7135816198930205,0.00020434651838539122,0.0006744759535333831
ACADSB,1705.6940041426055,0.11025198471873032,0.12339837926976929,0.8934637988858931,0.37160885022828527,0.4614274751104247
ACADVL,4025.483208861602,0.5000690852369977,0.15153993873579977,3.2999161106224033,0.0009671373352473358,0.0026443015433927418
ACAP1,7308.169505295924,0.8981695805941718,0.19345338289232852,4.642821785618871,3.436827806249479e-06,1.7742707840830777e-05
ACAP2,11933.713975177428,-0.11710516639654514,0.1280275963764142,-0.9146869090023685,0.36035601874535883,0.44971861406584823
ACAP2-IT1,87.58715905284421,0.7105806150974912,0.40998569994407635,1.7331839017663717,0.08306298737910434,0.13021999818807548
ACAP3,769.6598100525584,1.0514094749257468,0.20904029955688597,5.029697513610898,4.912542189280858e-07,3.065387491785648e-06
ACAT1,704.4431446174674,-0.988199111656535,0.20348561276299326,-4.856358630167749,1.1956407174225678e-06,6.88889781239054e-06
ACAT2,2214.545205294738,-0.9807618229277283,0.22038053135497845,-4.450310637231216,8.574617128012925e-06,4.013266546099616e-05
ACBD3,2812.8960790223964,-0.1797026357070314,0.11659030683206,-1.5413171179477227,0.12323962472036724,0.18200037001500818
ACBD4,245.0445458518569,1.2678571232176366,0.25418859506813957,4.98785998985425,6.105178656013979e-07,3.7357540869183213e-06
ACBD5,1742.5120912712814,0.02040141268167912,0.11238285729107339,0.18153491709895875,0.8559477285479558,0.8935885987691163
ACBD6,2194.0871179376063,-0.3465433054059368,0.11739213085913545,-2.9520147804606345,0.0031570781853659494,0.007494856137198833
ACBD7,316.64394573684956,-0.6896162470370235,0.3454897747093351,-1.9960540007796361,0.04592804521637158,0.07794732851331522
ACCS,420.3694437798805,0.8562588884830226,0.2095053019977438,4.087051164424677,4.368907966021209e-05,0.00017264568225175677
ACD,461.6462608045936,0.31883598638159916,0.16828719037768983,1.894594506367538,0.058146143170898404,0.09559024911371167
ACE,18.755481523528555,-0.2106867682143009,0.4606484667254697,-0.45736995438619965,0.6474051564019643,0.7196074916649869
ACER1,29.618897321864452,0.20020593509319162,0.4898686770416412,0.4086930732176067,0.682764917731884,0.7504567121237382
ACER2,124.27750998643984,-0.23433460737058243,0.2459749365937437,-0.9526767670545775,0.3407538682848539,0.43011763961085697
ACER3,1228.794796109531,-0.47203419223725895,0.14249576757666194,-3.312619036093877,0.0009242678452298438,0.0025416158287133853
ACIN1,7387.088295496902,0.9895550984335509,0.19896111644293812,4.9736105030218525,6.571728474216048e-07,3.99030297778649e-06
ACKR3,130.08351370986733,0.4810227922116492,0.2827101616646244,1.7014697645791754,0.08885481070514727,0.13772713761435051
ACLY,6806.054205262291,-0.10136656923788367,0.11377995954144496,-0.8909000288487565,0.37298280483193513,0.46286733337544905
ACO1,1081.5300154459337,-0.2860582414155233,0.14701045305591706,-1.945836064505684,0.05167443497366726,0.08636297209912328
ACO2,3232.038358957671,-0.20849590838759735,0.12738903961800757,-1.636686397925592,0.10169601252141504,0.15487892626621447
ACOT1,45.436672806078896,-0.6012302348610803,0.35440126100309965,-1.6964675384036567,0.08979737270760267,0.13902433293467917
ACOT11,58.96972591769409,-0.01448876417706092,0.28352085239784974,-0.05110299314679545,0.9592434509249891,0.9708665444129249
ACOT13,1464.4450441575532,-0.389917553461029,0.2065660600746383,-1.887616742654338,0.05907742075693227,0.09693953242798979
ACOT2,340.1851386348188,-1.3403459165883138,0.20940536742076793,-6.400723788015875,1.5464210800787763e-10,2.0991702142049563e-09
ACOT4,25.768431772496598,0.33020587081099145,0.5533719247749419,0.5967159807489099,0.5506970212518565,0.6334319762843759
ACOT7,427.93422805582617,-0.6399284106137585,0.22357469542451527,-2.8622577765282715,0.0042063464342307726,0.009692658059788037
ACOT8,601.8809482029942,-0.2922131796524168,0.174077044075329,-1.6786428170618883,0.09322167658431431,0.14350956686851
ACOT9,519.6633204051284,-0.13433628880019471,0.267170190435078,-0.5028116669057743,0.6150966901710493,0.6912886344223218
ACOX1,3573.0932890481085,-0.43182767423892,0.13975145972145392,-3.089968971341113,0.0020017740658825147,0.005020973495088538
ACOX3,534.929174006006,-0.3632205557659812,0.16525721082656128,-2.19791048117824,0.0279554858478696,0.05073379182438411
ACOXL,48.562261466613286,0.5005973698880812,0.3777684151069491,1.3251435267460312,0.1851235518039126,0.25772006281555276
ACP1,5294.318429707098,-0.6895827994375487,0.1479216591087162,-4.66181087741001,3.1343915843368137e-06,1.6352491719076432e-05
ACP2,540.7343996762561,0.19329766982539195,0.17662008446760896,1.0944263242091334,0.2737680438511261,0.3579276280147186
ACP3,46.10395929698356,-3.2633622582959876,0.5324723696920702,-6.128697833059763,8.860121215697165e-10,1.0300054022990511e-08
ACP5,822.698394289921,0.020136701577608652,0.1698274867678343,0.118571510188671,0.9056148376616583,0.9320647657712106
ACP6,452.4136946410171,0.21484234497673357,0.21916158680393022,0.9802919759334432,0.32694201441236925,0.41527343965951186
ACRBP,66.42302818293204,1.5249418739479024,0.37811357354139563,4.033026002386959,5.506318415219695e-05,0.00021207184391576806
ACSBG1,53.83160763199565,-0.8170249334006455,0.4109481571249835,-1.9881459966059905,0.04679554554606734,0.07916430320786166
ACSF2,408.2703435471683,-0.8087557519498072,0.1986019810143835,-4.072244132807689,4.656233754750376e-05,0.00018222102698622753
ACSF3,1913.5053364939308,-0.3059389371889,0.15785885376230618,-1.938053709990593,0.052616670127715946,0.08770556132470189
ACSL1,1039.5636443593417,-0.02044651344152863,0.23057200994197985,-0.0886773439962366,0.9293383384587455,0.9491178903640973
ACSL3,3906.7612699116967,-0.23811024068314524,0.18101587408389821,-1.3154108273000666,0.1883718686262943,0.26168837469230094
ACSL4,3906.070202758049,-0.2616263264235972,0.1434400068964507,-1.8239425114672865,0.06816076385234496,0.10958895803411445
ACSL5,1851.3719781240984,0.003062359171715651,0.11346865986327483,0.026988590289209996,0.9784688343482448,0.9846435165639814
ACSL6,263.914337185413,0.284519358905321,0.22686211311275173,1.2541510567871388,0.20978710552006052,0.28575574071140597
ACSM3,230.1356011247009,-0.023067225591458504,0.32767560256613876,-0.07039653062605589,0.9438780525591094,0.9596833139531564
ACSS1,2163.081792174484,0.11069038821173638,0.1902392497729871,0.5818483217518123,0.5606688523239314,0.6419552633912028
ACSS2,319.7307571898976,-1.3975402654505884,0.16432408641395788,-8.504780376079303,1.8193968555808095e-17,9.638529583575249e-16
ACTA2,129.96235204609513,1.7207984829314191,0.35622603793940466,4.830636448939572,1.3609730795306135e-06,7.728662592284099e-06
ACTA2-AS1,102.32432040440423,1.0226932582984645,0.3298060066024309,3.1008933670855905,0.0019293775650343523,0.004855584826908547
ACTB,176387.8775012902,-0.5079128299050633,0.13721334479032798,-3.7016285163895044,0.00021422010415628689,0.0007029500694897737
ACTG1,94625.47559039063,-0.8033965801603523,0.13868382719072825,-5.793008431008051,6.913663533231053e-09,6.643092282356581e-08
ACTG1P1,14.001941379618806,-0.06397806042756528,0.6078746042894111,-0.10524877988998058,0.9161784048754636,0.9399342655165678
ACTG1P14,36.91162951349295,0.7353372666053123,0.5091720483898192,1.444182313091826,0.14868769874047974,0.21378257741493203
ACTG1P17,28.06747354719289,0.880216528287563,0.420456996523761,2.093475755106908,0.03630670614312794,0.06362943715381447
ACTG1P20,28.646135975875445,-0.8228270817724166,0.4293667245386106,-1.9163736608993422,0.05531755093973058,0.09151191204920116
ACTG1P3,40.168716567617,0.5643636555067163,0.5108515228033714,1.1047508528695174,0.2692675617190917,0.35303770424875847
ACTL6A,2710.5513244032873,-0.7898033458157881,0.20228756879209372,-3.904359276904103,9.44753448757507e-05,0.00034137840914476455
ACTN1,6395.977944725764,1.596379559596456,0.21984204811086847,7.2614842033830875,3.828657228379669e-13,9.488698848419126e-12
ACTN1-DT,34.60094495791264,2.0633022160395194,0.6398425207246675,3.2247031874384993,0.0012610333497614973,0.0033486851964145935
ACTN2,52.66849183105362,0.1475467949029633,0.568026744869042,0.25975325323278586,0.7950541119490135,0.845334002245358
ACTN4,2025.596268160897,0.4690998623572945,0.3045980577629739,1.540061896003058,0.12354526667786825,0.1823575588359958
ACTR10,1880.6705725853815,-0.447177225389988,0.1476910852785831,-3.0277875238474796,0.002463512338629652,0.006037173127902253
ACTR1A,4195.857214987774,-0.1326090585480848,0.10761714898288637,-1.2322298053925655,0.21786325246237492,0.294772640265985
ACTR1B,2568.173916387902,0.03622934097317023,0.12396510021425095,0.29225435957825596,0.7700921519246524,0.8242894299569115
ACTR2,19269.59276756883,-0.2402855455449715,0.11352896139552927,-2.116513201488989,0.03430118362552994,0.06057867612666307
ACTR3,26634.614544946926,-0.3571138279622223,0.14769367851602155,-2.4179357678025686,0.015608831846979304,0.03034313857508463
ACTR3-AS1,92.66004022288722,0.28410111395988197,0.38348545057451094,0.7408393552721796,0.4587908497367388,0.5480840820880738
ACTR3B,265.1051537914087,0.2315194825314865,0.14691276939343229,1.5758976124905624,0.11504940130891052,0.1717364692193429
ACTR3C,156.77231364979494,-0.00692088527480313,0.2315490691941021,-0.02988949728405738,0.9761551820617906,0.9826911018498591
ACTR5,489.36865069228435,0.12063205488070047,0.13244391038212558,0.9108161676339389,0.36239224234280454,0.4519382518260412
ACTR6,1606.5303315992742,-0.326536495761938,0.1527089876633138,-2.1382925835502986,0.0324930041187299,0.05781213299023881
ACTR8,1562.44414539787,0.3629627687510232,0.15171289603377844,2.3924318778425437,0.016737134805454097,0.032317654986999
ACVR1,381.6532775266224,0.4608203532209622,0.17697276433092782,2.6039054933857364,0.009216816769853666,0.019127893564569454
ACVR1B,1184.316496961383,0.35601304058306077,0.10336089956864673,3.444368635226671,0.0005723947071678236,0.0016712401039501443
ACVR1C,23.933577302848448,0.42358967240859274,0.5126127754659874,0.8263345992957963,0.40861431168991835,0.4980923587868691
ACVR2A,284.7901679914861,-0.6286302467661526,0.20103457985403553,-3.1269757034962837,0.0017661452245844834,0.004494218997504068
ACVR2B,2444.0410887822372,-0.19182962572588147,0.1815575043252754,-1.0565777847562978,0.2907043236506305,0.37648475450963936
ACVR2B-AS1,68.4533622962954,-0.8528400144067136,0.32348242006780314,-2.6364338879001683,0.00837825246842815,0.017595779129849033
ACVRL1,38.29239503340073,0.045924157435680964,0.5281106430861445,0.0869593484564368,0.9307038248855052,0.9498979366089649
ACY3,114.79662174021892,-0.5035008473657488,0.3988826065119948,-1.262278272217939,0.20684867224224968,0.28245999383170967
ACYP1,394.1265750232315,-0.3859738576745894,0.1744934668514563,-2.211967385593658,0.026968918529331278,0.049220614661566804
ACYP2,561.4224741847072,-0.5281895603370108,0.1870303543105808,-2.824084690872714,0.004741585402275388,0.010745214311689007
ADA,8712.448307059227,-1.592336651470472,0.2556108683129946,-6.229534221215748,4.67823962504184e-10,5.760949216890447e-09
ADA2,2776.9531297286917,0.41808793384914544,0.18584949773534098,2.2496048627719385,0.024474039498979857,0.0451685365408458
ADAL,643.1229193231834,-0.18557937499377486,0.12740957739620193,-1.4565574958049186,0.14523856768137444,0.20954864448783203
ADAM10,12619.699951374452,-0.10695670919456678,0.13493144097691082,-0.7926744754239228,0.42796750519437876,0.5181626661940071
ADAM12,90.97906565727077,-0.035297319045556545,0.27096723767770786,-0.13026415794052437,0.8963574362216109,0.9244655938871478
ADAM15,160.04471284478393,-1.642613822878079,0.3286955785526049,-4.997371215369704,5.811712612355047e-07,3.5700197280641684e-06
